#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Cov^-1_ij    
pre-recon pre-recon 0 0 27.500000 67.500000 -1.559041e+04
pre-recon pre-recon 0 0 27.500000 72.500000 -2.942691e+03
pre-recon pre-recon 0 0 27.500000 77.500000 -7.943326e+03
pre-recon pre-recon 0 0 27.500000 82.500000 1.238512e+04
pre-recon pre-recon 0 0 27.500000 87.500000 5.849864e+02
pre-recon pre-recon 0 0 27.500000 92.500000 -3.534983e+03
pre-recon pre-recon 0 0 27.500000 97.500000 6.698368e+03
pre-recon pre-recon 0 0 27.500000 102.500000 5.595920e+03
pre-recon pre-recon 0 0 27.500000 107.500000 -6.402703e+03
pre-recon pre-recon 0 0 27.500000 112.500000 -2.025934e+04
pre-recon pre-recon 0 0 27.500000 117.500000 3.715844e+03
pre-recon pre-recon 0 0 27.500000 122.500000 5.534711e+03
pre-recon pre-recon 0 0 27.500000 127.500000 -1.198055e+04
pre-recon pre-recon 0 0 27.500000 132.500000 1.615505e+04
pre-recon pre-recon 0 0 27.500000 137.500000 -3.040596e+04
pre-recon pre-recon 0 0 27.500000 142.500000 -9.685113e+03
pre-recon pre-recon 0 0 27.500000 147.500000 9.885890e+03
pre-recon pre-recon 0 0 27.500000 152.500000 1.502408e+04
pre-recon pre-recon 0 0 27.500000 157.500000 -1.155400e+04
pre-recon pre-recon 0 2 27.500000 22.500000 3.605863e+01
pre-recon pre-recon 0 2 27.500000 27.500000 1.123965e+03
pre-recon pre-recon 0 2 27.500000 32.500000 -6.830036e+02
pre-recon pre-recon 0 2 27.500000 37.500000 -8.169417e+02
pre-recon pre-recon 0 2 27.500000 42.500000 3.580464e+03
pre-recon pre-recon 0 2 27.500000 47.500000 1.985583e+03
pre-recon pre-recon 0 2 27.500000 52.500000 8.309604e+02
pre-recon pre-recon 0 2 27.500000 57.500000 2.189089e+02
pre-recon pre-recon 0 2 27.500000 62.500000 5.220638e+02
pre-recon pre-recon 0 2 27.500000 67.500000 -1.582606e+03
pre-recon pre-recon 0 2 27.500000 72.500000 -3.685892e+03
pre-recon pre-recon 0 2 27.500000 77.500000 3.368646e+03
pre-recon pre-recon 0 2 27.500000 82.500000 -5.295599e+03
pre-recon pre-recon 0 2 27.500000 87.500000 2.179657e+03
pre-recon pre-recon 0 2 27.500000 92.500000 3.412117e+02
pre-recon pre-recon 0 2 27.500000 97.500000 -4.816824e+02
pre-recon pre-recon 0 2 27.500000 102.500000 1.125816e+04
pre-recon pre-recon 0 2 27.500000 107.500000 -9.667245e+03
pre-recon pre-recon 0 2 27.500000 112.500000 5.639110e+02
pre-recon pre-recon 0 2 27.500000 117.500000 -1.401023e+03
pre-recon pre-recon 0 2 27.500000 122.500000 5.423366e+03
pre-recon pre-recon 0 2 27.500000 127.500000 1.597074e+04
pre-recon pre-recon 0 2 27.500000 132.500000 -6.393056e+03
pre-recon pre-recon 0 2 27.500000 137.500000 -1.585676e+03
pre-recon pre-recon 0 2 27.500000 142.500000 -3.788353e+02
